Name,Teff1,Teff1_err,Teff2,Teff2_err,Vmag,source,RAJ2000,DecJ2000,Period,Result,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,Arcsec Real Center Deviance from Catalog,include
CoRoT 105906206,6750,150,6152,162,12.21,AllWISE,280.82062,5.96674,3.6945708,YES,3,J184316.95+055800.1,280.8206478,5.9667216,2.000,0.120015599,1
IO Aqr,6336,125,6475,138,8.86,AllWISE,310.18945,0.93917,2.368137,YES,3,J204045.46+005620.7,310.1894463,0.9390934,2.000,0.2760815097,1
V1388 Ori,20500,500,18500,500,7.5,AllWISE,92.74652,11.99486,2.1871,YES,3,J061059.16+115941.5,92.7465117,11.9948625,2.000,0.03120599944,1
WZ Oph,6165,100,6115,100,9.12,AllWISE,256.6627,7.78272,4.183506,YES,3,J170639.06+074657.8,256.6627749,7.7827413,2.000,0.2803311471,1
V2365 Oph,9500,200,6400,210,8.86,AllWISE,257.19077,9.18615,4.865602,YES,3,J170845.78+091110.2,257.1907741,9.1861681,2.000,0.06681080153,1
V624 Her,8150,150,7950,150,6.2,AllWISE,266.07187,14.41007,3.894977,no,1,J174417.24+142436.4,266.0718749,14.4101156,2.000,0.1651050429,1
V451 Oph,10800,800,9800,500,7.91,AllWISE,277.3085,10.89207,2.196598,YES,3,J182914.05+105331.5,277.3085546,10.8920882,2.000,0.2071924323,1
EE Peg,8700,200,6450,300,6.98,AllWISE,325.00784,9.18475,2.62821423,no,1,J214001.90+091105.2,325.0079386,9.1847977,2.000,0.3943150517,1
CF Tau,5200,150,6000,150,10.24,AllWISE,61.29223,22.49671,2.755877,YES,3,J040510.12+222948.0,61.2921971,22.4966903,2.000,0.1380495563,1
V1094 Tau,5850,100,5700,100,8.97,AllWISE,63.01497,21.94738,8.99855,maybe,2,J041203.65+215649.6,63.0152477,21.9471374,2.000,1.327477973,1
CD Tau,6200,50,6200,50,6.77,AllWISE,79.3798,20.13184,3.435137,no,1,J051731.15+200753.2,79.379803,20.1314600,2.000,1.368042631,1
