ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.3286948,-2.6796666,0.3832,0.3998,-0.0844,15.178,0.129,8.4,2.485E+00,14.774,0.282,3.8,6.864E-01,1,0,0000,BB,5,58379.83114312,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.124171,325.379993
86.3285944,-2.6797355,0.7679,0.7027,-0.3638,15.385,0.322,3.4,1.499E+00,15.256,0.377,2.9,9.653E-01,1,0,0000,BC,10,58170.77462251,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.128154,324.598796
86.3249631,-2.6885181,0.3963,0.4120,-0.1237,15.145,0.136,8.0,9.815E-01,15.298,null,-0.3,1.551E+00,1,0,P000,BU,10,57648.82768002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.131951,260.272173
86.3289005,-2.6795254,0.3581,0.4183,-0.0804,15.051,0.139,7.8,1.995E+00,14.895,null,0.8,8.147E-01,1,0,0000,BU,10,56724.80182568,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.134774,326.980480
86.3286444,-2.6796973,0.5173,0.6262,0.1183,15.420,0.210,5.2,9.290E-01,14.699,0.250,4.3,4.421E-01,1,0,0000,BB,10,56730.79408971,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.136887,325.002129
86.3288938,-2.6795248,0.4279,0.4336,-0.1491,15.203,0.132,8.2,9.300E-01,14.823,0.435,2.5,6.450E-01,1,0,0000,BC,10,59839.26685925,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.149720,326.946574
86.3289101,-2.6795126,0.4703,0.5566,-0.1263,15.415,0.154,7.0,1.492E+00,14.478,0.467,2.3,8.179E-01,1,0,0000,BC,10,59842.85371161,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.154645,327.076802
86.3285765,-2.6797347,0.4124,0.4716,-0.1470,15.371,0.141,7.7,9.344E-01,14.940,null,1.9,6.849E-01,1,0,0000,BU,10,57813.05892314,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.167831,324.508313
86.3249638,-2.6885803,0.4133,0.4515,-0.1690,15.247,0.130,8.4,1.219E+00,14.840,null,1.0,2.586E-01,1,0,PP00,BU,10,57648.63119698,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.168064,259.878314
86.3286777,-2.6796609,0.3436,0.3948,0.0721,15.175,0.118,9.2,7.965E-01,15.037,null,1.0,1.047E+00,1,0,0000,BU,10,58170.51281368,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.176017,325.310641
